Année,Diplôme,situation,Genre,Disciplines,Code du domaine,Domaine ciblé,Domaine,Code de la discipline,Discipline,Code du secteur disciplinaire,Secteur disciplinaire,Taux d’insertion,Part des emplois de niveau cadre ou profession intermédiaire,Part des emplois de niveau cadre,% emplois extérieurs à la région de l’université,Part des emplois stables,Part des emplois à temps plein,Salaire net mensuel médian des emplois à temps plein,Salaire brut annuel estimé,Premier quartile des salaires nets mensuels des emplois à temps plein,Dernier quartile des salaires nets mensuels des emplois à temps plein,Part des diplômés boursiers dans la discipline,Taux de chômage national
2016-01-01,MASTER LMD,30 mois après le diplôme,hommes,"Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire sciences économiques et gestion",DEG,0,"Droit, économie et gestion",disc05,"Autres formations juridiques, économiques et de gestion",disc05_04,Pluridisciplinaire sciences économiques et gestion,96,91,69,49,86,98,2450,38200,1900,3050,23,8.5
2015-01-01,MASTER LMD,18 mois après le diplôme,femmes et hommes,"Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire sciences économiques et gestion",DEG,0,"Droit, économie et gestion",disc05,"Autres formations juridiques, économiques et de gestion",disc05_04,Pluridisciplinaire sciences économiques et gestion,93,82,55,38,79,98,2030,31700,1700,2470,21,8.6
2014-01-01,MASTER LMD,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts>Lettres, langues, arts>Ensemble Lettres, langues, arts",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06,"Ensemble Lettres, langues, arts",87,70,45,45,64,86,1630,25500,1360,1980,39,9.3
2014-01-01,MASTER LMD,30 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Ensemble Lettres, langues, arts",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06,"Ensemble Lettres, langues, arts",88,69,43,45,65,86,1630,25400,1360,1970,39,9.3
2019-01-01,MASTER LMD,18 mois après le diplôme,femmes et hommes,"Lettres, langues, arts>Lettres, langues, arts>Ensemble Lettres, langues, arts",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06,"Ensemble Lettres, langues, arts",81,74,44,47,56,83,1620,27300,1360,2000,44,7.2
2020-01-01,MASTER LMD,18 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Ensemble Lettres, langues, arts",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06,"Ensemble Lettres, langues, arts",87,75,44,45,58,86,1650,28200,1400,2000,44,6.9
2019-01-01,MASTER LMD,18 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Ensemble Lettres, langues, arts",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06,"Ensemble Lettres, langues, arts",82,74,43,47,55,83,1600,27200,1360,1980,46,7.2
2016-01-01,MASTER LMD,18 mois après le diplôme,hommes,"Lettres, langues, arts>Lettres, langues, arts>Ensemble Lettres, langues, arts",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06,"Ensemble Lettres, langues, arts",82,76,45,48,55,83,1600,25000,1320,1930,37,8.5
2017-01-01,MASTER LMD,30 mois après le diplôme,femmes et hommes,"Lettres, langues, arts>Lettres, langues, arts>Ensemble Lettres, langues, arts",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06,"Ensemble Lettres, langues, arts",88,80,47,48,66,89,1750,27300,1430,2110,43,7.8
2018-01-01,MASTER LMD,18 mois après le diplôme,femmes,"Lettres, langues, arts>Lettres, langues, arts>Arts",LLA,0,"Lettres, langues, arts",disc06,"Lettres, langues, arts",disc06_01,Arts,80,68,34,35,51,73,1500,23400,1250,1800,39,7.8
